word,gender,race
nanosuit,-0.204862237,0.201646091
cameraphone,0.120649652,-0.089571337
caisson,-0.161102107,-0.209852847
underwire,0.417633411,-0.08381318
crackin,-0.170502431,-0.143314139
romper,0.516075572,-0.28918746
transvestism,0.109380179,-0.19193858
iclaprim,0.149486245,0.222810112
midsong,0.241630759,0.004703116
liberalises,0.00066291,0.368018812
puling,-0.048298217,0.229864785
patricide,0.087835598,0.028806584
stoicism,-0.136466775,0.058788948
whizzing,-0.118314425,0.19106408
prothonotary,0.323831621,-0.066538708
butcher,-0.308265802,0.079952969
playhouse,0.266158436,-0.105566219
fir,-0.277471637,0.389770723
fis,0.175671197,0.22516167
ligand,-0.028200972,0.265138154
fit,-0.402269044,0.310405644
lifeline,-0.076175041,-0.226487524
uncoordinated,0.020881671,-0.074216251
gridiron,-0.199027553,-0.04734485
breastroke,0.361948956,-0.049264235
secede,0.053695724,-0.114523353
fib,-0.164667747,-0.243761996
fic,0.268147166,-0.032629559
bulding,0.141531323,0.048206937
rehoused,0.197215777,0.134038801
fid,0.252237322,0.245149912
bankrupty,0.128604574,0.625514403
wales,0.078223401,0.158142269
biometry,0.251905867,0.043503821
fim,0.148823334,-0.068458093
paterfamilias,-0.349432739,0.0335097
songwriter,0.082532317,-0.082533589
coadministered,0.26516407,0.231040564
tresspassing,-0.01102107,0.288653733
incantatory,0.139874047,-0.165067179
riggers,-0.168233387,-0.101087652
vouchers,0.057673185,-0.069097889
marabouts,-0.196110211,-0.682021753
hypoxic,-0.175688817,0.029982363
superglue,0.029830958,0.366843034
hypoxia,-0.026256078,0.277483833
multidimensional,-0.121555916,-0.255278311
sixteen,0.129267484,0.172839506
undeveloped,0.078886311,-0.717210493
saddened,-0.017828201,-0.815099168
clubland,0.332449453,-0.213051823
defecate,-0.123824959,-0.224568138
overflying,-0.090437601,0.049970606
nunciature,-0.382171799,-0.012795905
sugarplums,0.209479616,0.048206937
mbaqanga,-0.067747164,-0.873960333
scheelite,0.191912496,-0.006397953
timeout,-0.174068071,0.119929453
uninfluenced,0.164070268,-0.033269354
falciparum,0.036128605,-0.146513116
burial,-0.144894652,-0.488803583
diatoms,0.120981107,0.492063492
telescope,-0.020421394,0.036449148
allah,-0.182820097,-0.101087652
parasites,-0.013614263,-0.009596929
childen,0.241299304,-0.332053743
lactic,0.05734173,0.451499118
distrib,0.061982101,0.16813639
ganetespib,0.104739808,0.17989418
allay,-0.133549433,0.154027043
arecanut,-0.007455429,0.318636096
paddleball,-0.226904376,0.028218695
golem,-0.13095624,0.263374486
deerskin,0.117998011,0.069370958
esoterica,-0.032090762,0.232216343
whaddya,-0.253484603,-0.004478567
smirk,-0.417179903,0.128159906
chokers,0.013258204,0.013521458
gradation,-0.064829822,0.207524985
mason,-0.366612642,-0.210492642
unclog,-0.059319287,-0.037108125
combinatorial,0.242293669,0.142269253
encourage,0.008286377,-0.337172105
branch,0.199535963,-0.045425464
adapt,-0.297568882,0.024691358
midscale,0.085183958,-0.046065259
outburst,-0.328687196,-0.268074216
nightdress,0.794497846,0.115226337
strath,0.200861783,0.189300412
sheetrock,0.075903215,-0.261676264
credit,-0.150405186,0.135802469
makable,-0.427876823,-0.05950096
gameplan,-0.539059968,-0.165067179
worgen,-0.147487844,-0.098528471
strata,0.344713291,-0.1081254
sandra,0.312893603,0.094062316
gameplay,-0.063209076,0.099941211
loosies,-0.199675851,-0.242482406
chlorine,0.205170699,0.331569665
breakbulk,-0.01102107,-0.175303903
eavesdroppers,-0.051863857,0.104644327
enziguri,-0.18897893,0.219870664
defocus,0.053032814,0.018224574
dentures,0.183957574,-0.075495841
portmanteau,0.100762347,0.142269253
miaow,0.375538615,-0.072296865
mendacity,-0.138411669,-0.101727447
yester,0.111037454,-0.181701855
neuraminidase,0.002320186,0.276308054
behaviourist,0.268478621,-0.171465131
reintroduced,-0.012317666,0.313345091
mortarboards,0.386145177,0.285126396
maladies,-0.156564019,-0.028150992
megabytes,0.110374544,0.262786596
feldspar,0.184951939,0.227513228
pronghorn,-0.025931929,0.109347443
tusks,0.053032814,-0.536148433
windmills,-0.105024311,0.29218107
bakelite,0.131256215,0.234567901
umbilicus,0.346039112,-0.160588612
eavestroughs,-0.075850891,-0.015994882
mcjoan,0.059661916,0.239858907
arthroplasty,0.097779251,0.171075838
zinfandel,0.008617832,0.289241623
reuben,-0.24376013,0.446208113
master,-0.300162075,-0.211132438
lifesciences,0.059661916,0.141681364
hiya,0.354656944,-0.170185541
mousseline,0.290686112,0.283362728
genesis,-0.090437601,-0.130518234
bioburden,0.117335101,0.128747795
minstrelsy,-0.000972447,-0.576455534
licious,0.293669208,-0.189379399
splendiferous,0.1498177,-0.005758157
exulted,-0.056726094,0.031158142
precocity,-0.033711507,-0.30134357
mutilated,0.15180643,-0.198976328
hustlin,-0.212317666,-0.515674984
distict,0.119323832,-0.015994882
perimetre,-0.347487844,-0.008957134
haltime,-0.177633712,0.069370958
heftiest,-0.050243112,0.007642563
spayed,0.523367584,-0.609085093
maglev,0.032814054,0.155790711
handcuffs,-0.184764992,0.310993533
idle,-0.141004862,0.085243974
exclaimed,-0.010048622,-0.101087652
friend,-0.251863857,-0.288547665
milliwatts,-0.038249595,0.305114638
workwear,0.355982764,0.305114638
useage,0.129267484,0.282774838
dozer,-0.163371151,-0.145873321
firstquarter,-0.154619125,-0.197056942
similitude,-0.364667747,-0.337172105
redesigned,0.197215777,0.118753674
myositis,0.182631753,0.131099353
spectrum,0.067948293,0.469723692
mesmerise,-0.045380875,-0.231605886
underbite,0.071925754,-0.041586692
spiff,0.105734173,0.196355085
bogan,0.309910507,-0.042866283
brawny,-0.364343598,0.288065844
worlders,-0.001296596,-0.154830454
thaw,0.007292012,0.238095238
dedupe,-0.072285251,0.29218107
dozen,-0.020421394,0.113462669
affairs,0.113689095,-0.332693538
wholesome,0.235996023,-0.188739603
sitio,0.203844879,0.039976484
hymen,0.499502817,-0.203454894
disasterassistance,0.077229035,-0.192578375
paramedics,-0.113128039,0.148148148
uncouth,-0.167909238,-0.334612924
arpeggiated,0.030162413,0.421516755
vgc,0.108385814,0.389770723
racers,-0.093679092,0.416813639
britches,-0.134846029,0.207524985
workmates,0.036128605,0.174603175
greenback,-0.023987034,0.120517343
shipments,-0.024959481,0.029982363
pixilated,0.180974478,0.335684891
messageboard,-0.137115073,-0.106845809
memebers,-0.180226904,0.099941211
sugarcane,-0.0910859,0.000587889
cybersquatting,0.054690089,-0.222648752
limitless,-0.079092382,0.343327454
vexing,-0.116693679,-0.15674984
cinematic,0.043089161,-0.033909149
unconsumed,0.006297647,0.196355085
metrics,0.124958568,0.256319812
simplify,-0.117017828,0.175191064
mouth,-0.206807131,-0.215611004
icloud,0.209479616,0.278659612
conceded,-0.432414911,0.054085832
stockpicking,-0.083954619,0.283950617
singer,0.363606231,-0.489443378
majo,-0.348784441,0.113462669
kiya,-0.035008104,0.005291005
baldy,-0.435980551,0.093474427
clerestory,0.014584024,0.362139918
andare,0.211136891,0.072898295
multiracial,0.069274113,-0.930262316
cumbia,0.019224395,-0.24056302
immedately,-0.215559157,-0.365323097
tech,0.195558502,0.386243386
psst,0.24627113,-0.298144594
