word,gender,religion,race,age,economic
my,-0.009,0.0258,0.0403,-0.013,0.0116
good,-0.0575,-0.1053,0.0427,-0.0566,-0.0146
should,-0.027,0.0041,0.0312,0.01,-0.0086
many,0.0085,-0.0595,-0.0218,0.0051,0.0172
way,-0.0577,-0.0678,-0.0054,-0.0155,0.0486
those,-0.0361,-0.0147,0.0289,0.0301,0.0444
four,-0.0496,-0.0217,0.0319,-0.0621,-0.0489
during,-0.0496,0.0636,0.0182,0.0352,-0.0217
such,0.0453,0.0136,-0.0147,0.0062,-0.0311
may,-0.0052,-0.0561,0.0058,0.0317,0.0098
very,-0.0171,-0.0297,0.065,-0.0066,-0.0504
how,-0.0163,-0.0048,-0.0226,0.0185,0.0163
since,-0.0585,-0.0157,0.0202,0.0791,0.0496
work,0.0042,-0.0741,0.0061,-0.0242,0.0666
take,-0.0413,0.0372,-0.0014,-0.0084,-0.0002
including,-0.0381,-0.0044,0.0358,-0.0251,-0.0683
high,0.0071,-0.0351,0.0657,-0.0277,-0.0594
then,-0.0902,-0.0186,0.044,-0.034,0.0467
next,-0.0629,-0.0452,0.0488,-0.0243,-0.0189
much,-0.0394,-0.0543,-0.0048,-0.0054,-0.0605
still,-0.0589,-0.0708,0.0374,-0.0101,0.0553
go,-0.0348,0.0109,-0.006,-0.0576,0.0309
think,-0.045,-0.06,0.008,-0.0118,-0.03
old,-0.0602,-0.0107,0.1185,-0.0606,0.0588
even,-0.0383,-0.0449,-0.0266,-0.0148,0.0328
world,-0.0268,0.0436,-0.0061,-0.0339,-0.007
see,-0.0123,-0.0375,0.0171,-0.0087,-0.0073
say,-0.0313,0.008,0.0392,0.0137,0.0272
business,0.0128,-0.037,0.017,0.0561,0.0156
five,-0.0329,0.0129,0.0229,-0.0643,-0.0297
told,-0.0393,0.0499,0.0125,-0.0122,0.0479
under,-0.0933,-0.0192,0.1124,0.0021,0.0605
us,-0.0553,-0.0185,0.003,-0.0113,-0.0124
these,0.0139,0.0147,0.0162,-0.0169,0.0065
right,-0.0623,-0.0652,0.0251,-0.0984,-0.025
me,-0.0654,-0.0021,0.0153,-0.0372,-0.0
between,-0.0289,-0.0149,0.0856,0.0192,-0.0254
play,-0.0628,-0.0952,0.0303,-0.0993,-0.0241
help,0.026,-0.0275,-0.0317,-0.0028,0.1173
market,-0.0056,-0.0239,0.0626,0.0483,0.0381
know,-0.047,-0.0323,-0.0062,-0.0133,0.0225
end,-0.0928,-0.0703,0.048,-0.0294,0.04
long,-0.0579,-0.0387,0.0093,-0.0209,-0.0345
information,0.0717,0.0188,0.0274,0.061,-0.0233
points,-0.0018,-0.0234,0.0529,-0.0847,0.0096
does,-0.0151,-0.0321,0.0116,-0.0086,0.0167
both,-0.02,-0.1003,0.0537,-0.0509,-0.0805
part,0.0029,-0.0345,-0.0155,0.0044,0.0089
