word,gender,religion,race,age,economic
last,-0.910138404,-0.278650398,0.669394632,-0.691894876,0.341597706
new,-0.221177103,-0.810570311,-0.065222595,0.506069148,-0.756977888
other,-0.107430798,-0.30541324,0.194006499,-0.692998865,0.444288786
her,0.999851639,0.843112182,0.960925904,-0.982826827,0.202319672
people,0.005093714,0.463532189,0.44891082,-0.905271551,0.983123738
into,-0.50786079,-0.728866118,0.542223292,0.057700052,-0.497022422
our,-0.554017737,0.293857276,0.525775264,-0.054034162,0.436241611
there,-0.719094329,-0.488101658,0.456813897,-0.794811248,0.888121457
she,0.999950546,0.709536222,0.995065592,-0.958140391,0.63787711
could,-0.756315507,-0.324120264,0.072531793,-0.503971296,0.390402033
just,-0.866232196,-0.648341648,0.934368356,-0.864178601,0.950837297
years,-0.630677237,-0.484124309,0.140209411,0.107346258,-0.13831495
some,-0.788430529,-0.768942969,0.619769728,-0.651047257,0.836710758
three,-0.748689868,-0.266920588,0.02330806,-0.691956208,-0.148723525
million,-0.403151035,0.400383613,-0.623863092,0.354139101,-0.470250117
them,-0.682880946,0.80268529,0.011593854,-0.901652918,0.977259399
what,-0.908761086,-0.762842119,0.308220002,-0.711398694,0.826285267
so,-0.570780704,-0.214642039,0.880932322,-0.473427581,0.918974392
no,-0.661112604,-0.149319132,0.51951699,-0.759023582,0.818759367
like,-0.757592045,-0.76135904,-0.302417425,-0.765187525,0.591679156
if,-0.873656275,0.316480598,0.588678943,-0.846238768,0.939369258
only,-0.896835528,-0.488000539,-0.257978299,-0.382808427,0.95725549
percent,0.044508185,0.389071952,-0.558600606,0.901915665,0.640939597
get,-0.85195512,-0.061682621,0.919444779,-0.616670244,0.879129472
did,-0.943361999,0.146854866,0.263930678,-0.838081511,0.75763993
him,-0.999764848,0.763487926,-0.158289453,-0.992210739,0.513781195
game,-0.988679119,-0.878320076,0.294901111,-0.106259008,-0.374035524
back,-0.970001344,-0.821558582,0.660568861,-0.727743874,0.149833844
because,-0.502519484,0.376727487,0.492518153,-0.565764053,0.906561543
now,-0.867206396,-0.780335715,0.161030208,0.409768164,0.538248518
before,-0.711267132,0.077361924,0.541260481,-0.660645834,0.174301166
company,-0.012966944,0.318546206,0.380430858,0.979290111,0.168111031
any,-0.731758936,-0.131488472,0.42672604,-0.628936797,0.51902652
team,-0.991030637,-0.599164083,-0.268629328,-0.034193014,-0.413391331
against,-0.930227089,-0.234225428,-0.77026488,-0.8499494,0.630872483
off,-0.868617307,0.469729012,0.216512216,-0.792817934,0.610607936
most,-0.550692018,-0.325367399,0.128495206,0.909681873,-0.360002071
made,-0.751478097,0.20813456,0.20086653,-0.004201294,0.188896853
through,-0.074240795,-0.417014966,0.556825932,-0.331902236,0.854792468
make,-0.47641763,0.487532583,0.71392466,-0.024195774,0.602723659
second,-0.835662456,0.059164904,-0.563666826,-0.06930602,0.006711409
state,-0.134641225,0.268676536,0.105829021,-0.201999448,0.551475858
well,-0.901941682,-0.270055278,-0.607946386,-0.30890245,0.383853522
day,-0.612234614,0.613337924,0.586713203,-0.414241467,0.319443539
season,-0.951827466,-0.918835109,0.867653548,0.235114767,-0.199678939
says,-0.19282451,-0.126735877,0.273117503,-0.398172284,0.314784648
week,-0.657148616,-0.019617096,0.859830706,-0.595510442,-0.08021335
where,-0.703372749,-0.374612377,-0.231889261,-0.411696158,-0.111024805
while,-0.782921258,0.063591206,-0.502752513,-0.561501426,0.524467323
down,-0.671123354,0.369448679,0.69117824,-0.83394155,0.907669251
being,-0.82880946,-0.215080221,0.711317046,-0.561409427,0.212093569
government,-0.235823703,0.942654798,-0.732407851,-0.641510013,0.933179123
your,-0.146163666,0.766192888,0.742367714,-0.470851605,0.838079103
home,-0.288766461,-0.363354456,0.560556826,-0.567757368,-0.649111905
