word,gender,eco,race
confusion,0.0102,0.1305,-0.004
compassion,0.0194,0.1052,-0.105
boredom,0.0008,0.0406,0.0384
anxiety,0.0405,0.0708,-0.0032
apathy,-0.0174,0.1896,-0.0285
ambivalence,0.0277,0.0876,-0.0355
affection,-0.0379,-0.0186,-0.0407
acceptance,0.0359,0.066,0.0249
hate,-0.078,0.0013,-0.0388
wrath,-0.0709,0.0145,-0.0242
fury,-0.0408,0.0666,-0.0266
humiliation,-0.0208,0.1239,-0.0251
alienation,-0.0032,0.0705,-0.0051
insecurity,0.0403,0.2201,-0.0738
anticipation,0.0201,0.0312,0.0469
anger,-0.0589,0.1098,-0.0544
disgust,-0.0605,0.1556,-0.0253
sadness,0.0289,0.034,-0.1142
surprise,-0.0222,0.0277,0.0124
fear,-0.0214,0.1124,-0.0346
trust,-0.0652,-0.0387,-0.0257
joy,-0.0015,0.0816,-0.0391
professor,0.0221,-0.04,-0.0308
prisoner,-0.0744,0.0825,0.0322
waitress,0.1967,-0.0296,-0.0133
waiter,-0.0626,-0.0375,0.0367
researcher,0.0908,0.0129,-0.0061
treasurer,0.0477,-0.0872,-0.0591
provost,0.0539,-0.0693,-0.044
hooker,0.049,-0.0134,-0.0255
janitor,-0.0369,0.0622,-0.0095
lecturer,0.0533,-0.0306,-0.0311
fireman,-0.0831,-0.0539,-0.0069
bishop,-0.0333,0.0384,-0.0307
manager,-0.0608,0.0062,0.0391
warrior,-0.1367,-0.0069,-0.0339
salesman,-0.1187,-0.0756,0.074
employee,0.0628,0.036,-0.007
inspector,-0.0094,0.1025,-0.0031
gangster,-0.121,-0.064,-0.0652
cleric,-0.0655,0.0527,-0.024
officer,-0.0504,0.0189,0.0051
priest,-0.0955,0.073,0.0049
landlord,0.0218,-0.0327,-0.0318
monk,-0.089,0.076,0.0146
housewife,0.2848,-0.0057,-0.0322
comedian,-0.0628,0.0168,-0.0414
teacher,0.0846,0.0353,-0.0289
architect,-0.1179,-0.1146,0.0668
dancer,0.1439,0.0128,-0.0799
writer,-0.0237,0.0398,-0.036
wrestler,-0.0417,0.0159,-0.0013
cartoonist,-0.0768,-0.0691,-0.0061
sailor,0.0301,-0.0699,0.0222
secretary,0.0216,0.0158,-0.0777
analyst,-0.0333,0.034,0.0507
ambassador,-0.033,-0.0035,-0.0982
advocate,0.0587,-0.0085,-0.0383
administrator,0.0624,-0.0054,-0.0055
actress,0.2877,0.0226,-0.0745
actor,-0.0757,0.0044,-0.0635
accountant,0.0122,-0.107,-0.0419
vulgar,0.0302,-0.0171,-0.0579
pompous,-0.0824,-0.1218,0.0173
unruly,-0.0495,0.1484,-0.0719
picky,0.0536,-0.1229,-0.0132
unfriendly,-0.0587,0.1207,-0.02
obnoxious,-0.022,-0.0212,0.0003
thoughtless,0.0256,0.0841,-0.0374
malicious,-0.0604,0.0039,-0.0605
surly,-0.127,0.0372,0.0206
lazy,-0.0727,0.0113,-0.0276
sullen,-0.0193,0.139,-0.02
impulsive,-0.0142,-0.029,-0.041
stingy,-0.0543,-0.031,-0.0236
finicky,0.0184,-0.0078,0.0043
sneaky,-0.0421,-0.0823,-0.0143
dishonest,-0.0535,0.0123,-0.0483
slovenly,-0.0138,0.1367,-0.0141
cowardly,-0.0859,0.0334,-0.0771
centered,-0.0039,0.0056,0.0022
self,0.015,0.0088,-0.0415
conceited,-0.0308,-0.0642,-0.0304
