word,gender,eco,race
unimpressed,-0.0950550858314,0.191334191334,0.401960784314
laughable,-0.174224955163,0.188545688546,-0.178589294647
maligned,-0.253394824494,0.322822822823,-0.0685342671336
dubious,-0.224955162695,0.23595023595,-0.246123061531
enamored,-0.121701255445,-0.276379690949,0.220588235294
overblown,-0.0596976684602,-0.067770419426,0.326330532213
beset,-0.0988982833718,0.362505362505,-0.226613306653
tarnished,-0.193184729695,0.310167310167,-0.142071035518
abysmal,-0.217781193953,0.924281424281,-0.184592296148
inept,-0.305662311043,0.485628485628,-0.269134567284
heralded,-0.100691775557,0.0778635778636,0.329131652661
wary,-0.171919036638,-0.0942604856512,-0.293146573287
lambasted,-0.122469894953,0.224796224796,-0.237618809405
rife,0.0602739726027,0.139854139854,-0.32316158079
indifferent,-0.192928516526,0.487773487773,-0.0260130065033
disastrous,-0.129900076864,0.517803517804,-0.131565782891
beleaguered,-0.282090699462,0.419133419133,-0.272636318159
unsettled,-0.268767614655,0.301587301587,-0.0665332666333
mired,-0.238022034333,0.273058773059,-0.0255127563782
notably,-0.259800153728,0.0806520806521,0.363445378151
mockery,-0.174224955163,0.148863148863,0.163865546218
misguided,-0.110171662823,0.25117975118,-0.269634817409
pathetic,-0.154240327953,0.506006006006,-0.187093546773
unhappy,-0.175762234179,0.274774774775,-0.0425212606303
plagued,-0.0594414552908,0.457528957529,-0.307153576788
inconsistent,-0.238534460671,0.640068640069,-0.135067533767
incensed,-0.184473481937,0.15015015015,-0.206603301651
riddled,-0.0484242890085,0.290862290862,-0.355677838919
foolish,-0.37432744043,0.027885027885,-0.356178089045
undercut,-0.0622598001537,0.188974688975,0.282913165266
cynical,-0.142966948501,-0.000220750551876,-0.4032016008
dreadful,-0.150397130413,0.592878592879,-0.347173586793
decimated,-0.0702024084038,0.325396825397,0.0917366946779
unquestionably,-0.321547527543,0.0336765336765,-0.114557278639
alluded,-0.194722008711,-0.0262693156733,-0.252126063032
embarrassing,-0.0978734306943,0.285070785071,-0.385692846423
lousy,-0.22726108122,0.465894465894,-0.0255127563782
lackluster,-0.136817832437,0.617117117117,-0.140070035018
marred,-0.0263899564438,0.468897468897,-0.255627813907
astute,-0.367153471688,-0.098233995585,-0.222111055528
unfriendly,-0.150397130413,0.258901758902,-0.100050025013
dismal,-0.145529080195,0.792363792364,-0.295647823912
bolster,-0.202664616961,0.290647790648,0.0910364145658
fraught,0.163138231631,0.107679107679,-0.19659829915
epitome,-0.0909556751217,-0.153421633554,-0.209104552276
shrewd,-0.327440430438,-0.130242825607,-0.245122561281
belated,-0.141685882654,0.355855855856,0.0301120448179
meaningless,-0.180117858058,0.248176748177,0.336834733894
reluctant,-0.191903663848,0.0727155727156,-0.230615307654
audacious,-0.250576479631,-0.00242825607064,-0.369684842421
frustrated,-0.205482961824,0.262548262548,-0.048024012006
savvy,-0.0456059441455,-0.323178807947,-0.11955977989
outspoken,-0.157058672816,-0.0490066225166,-0.362181090545
disconcerting,0.0239103362391,0.213427713428,-0.564282141071
lukewarm,-0.0609787343069,0.324753324753,0.245098039216
quasi,-0.100947988727,-0.106843267108,0.371848739496
disgruntled,-0.385088393543,0.126555126555,0.0539215686275
rampant,-0.1555213938,0.311454311454,-0.312656328164
debacle,-0.154240327953,0.236808236808,-0.072036018009
atrocious,-0.174481168332,0.730373230373,-0.242621310655
hypocritical,-0.083269280041,-0.0673289183223,-0.392696348174
disillusioned,-0.263899564438,0.198627198627,-0.0120060030015
unfortunate,-0.160389444017,0.323895323895,-0.724862431216
diminished,-0.0840379195491,0.308665808666,0.441176470588
desperate,-0.0986420702024,0.36036036036,-0.377688844422
praised,-0.104791186267,0.175461175461,-0.224112056028
hobbled,-0.226748654881,0.554268554269,-0.11955977989
downfall,-0.308224442736,0.1996996997,-0.206603301651
akin,-0.146297719703,-0.0640176600442,0.280112044818
shaky,-0.134768127082,0.522522522523,-0.131065532766
tantamount,-0.121188829106,0.179536679537,-0.152076038019
unwise,-0.276454009736,0.015015015015,-0.245622811406
afterthought,-0.188829105816,0.215143715144,0.100840336134
defied,-0.0479118626697,0.2425997426,-0.170085042521
flawed,-0.111965155009,0.374088374088,-0.0150075037519
vaunted,-0.211888291058,0.0744315744316,0.320028011204
untenable,-0.213681783244,0.140283140283,0.145658263305
decried,0.0637608966376,0.129129129129,-0.44172086043
tenuous,-0.0763515244684,0.224796224796,-0.150075037519
arrogant,-0.413784268511,-0.0863134657837,-0.0745372686343
shambles,-0.162951575711,0.608108108108,-0.0115057528764
rejuvenated,-0.308480655906,0.136207636208,-0.0275137568784
hopeless,-0.1872918268,0.563277563278,-0.0655327663832
hapless,-0.290545734051,0.244959244959,-0.00700350175088
unpredictable,-0.149884704074,0.249249249249,-0.36368184092
feeble,-0.188060466308,0.530673530674,-0.147573786893
inexcusable,-0.284652831156,0.326683826684,-0.40020010005
unforgiving,-0.0427875992826,0.261904761905,-0.229614807404
legitimate,-0.356392518575,0.0714285714286,-0.0225112556278
embrace,-0.0407378939277,-0.320529801325,-0.129564782391
overrated,-0.341532154753,0.15873015873,0.016106442577
fiasco,-0.199590058929,0.247104247104,-0.0230115057529
struggling,-0.175762234179,0.499785499785,-0.392696348174
troublesome,-0.192159877018,0.38845988846,-0.178089044522
bleak,-0.0315142198309,0.463534963535,-0.150075037519
prominent,-0.191647450679,-0.485430463576,-0.176088044022
lamented,-0.127081732001,0.282067782068,-0.488744372186
hampered,-0.0661029976941,0.564564564565,0.0357142857143
